filename: frame000230_rgb.pngbbox0	sequence: big0	success: True	combination: big0	high_attention_area_without_occlussion_slc: 0.5032839290903807	area_occluded_relative_to_gtbox: 0.5032839290903807	high_attention_area_occluded_slc: 0.102324905550712	quadrants: []
filename: frame000485_rgb.pngbbox0	sequence: small0 big1	success: True	combination: big1	high_attention_area_without_occlussion_slc: 0.6514176605984515	area_occluded_relative_to_gtbox: 0.5928279974890145	high_attention_area_occluded_slc: 0.06928750784682988	quadrants: ['2', '4']
filename: frame000485_rgb.pngbbox0	sequence: small0 big1	success: True	combination: small0	high_attention_area_without_occlussion_slc: 0.6514176605984515	area_occluded_relative_to_gtbox: 0.05858966310943712	high_attention_area_occluded_slc: 0.6495605775266792	quadrants: ['1', '2', '3', '4']
filename: frame000485_rgb.pngbbox0	sequence: small0 big1	success: True	combination: small0 big1	high_attention_area_without_occlussion_slc: 0.6514176605984515	area_occluded_relative_to_gtbox: 0.6514176605984516	high_attention_area_occluded_slc: 0.3149194392132245	quadrants: []
filename: frame000360_rgb.pngbbox0	sequence: small0 big1	success: True	combination: big1	high_attention_area_without_occlussion_slc: 0.17558445479641133	area_occluded_relative_to_gtbox: 0.1548373878536922	high_attention_area_occluded_slc: 0.009079537612146308	quadrants: ['3', '4']
filename: frame000360_rgb.pngbbox0	sequence: small0 big1	success: True	combination: small0	high_attention_area_without_occlussion_slc: 0.17558445479641133	area_occluded_relative_to_gtbox: 0.020747066942719116	high_attention_area_occluded_slc: 0.21507289510006902	quadrants: ['1', '2']
filename: frame000360_rgb.pngbbox0	sequence: small0 big1	success: True	combination: small0 big1	high_attention_area_without_occlussion_slc: 0.17558445479641133	area_occluded_relative_to_gtbox: 0.1755844547964113	high_attention_area_occluded_slc: 0.008831521739130434	quadrants: []
filename: frame000185_rgb.pngbbox0	sequence: big0	success: False	combination: big0	high_attention_area_without_occlussion_slc: 0.22092761454463583	area_occluded_relative_to_gtbox: 0.22092761454463583	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000178_rgb.pngbbox0	sequence: big0	success: False	combination: big0	high_attention_area_without_occlussion_slc: 0.81463133640553	area_occluded_relative_to_gtbox: 0.81463133640553	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000251_rgb.pngbbox0	sequence: big0	success: False	combination: big0	high_attention_area_without_occlussion_slc: 0.4103017926026776	area_occluded_relative_to_gtbox: 0.4103017926026776	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000348_rgb.pngbbox0	sequence: big0 big1	success: True	combination: big1	high_attention_area_without_occlussion_slc: 0.1987012987012987	area_occluded_relative_to_gtbox: 0.13281797567511852	high_attention_area_occluded_slc: 0.09108431251288394	quadrants: ['4']
